Modele,Accuracy,AUC,Recall class 1,F1,TP,Precision,FN,time
Without_nbSiSp - XGBC,0.835227,0.843871,0.712121,0.764228,47,0.824561,19,0.001941
Without_nbSip_Title - XGBC,0.8181818181818182,0.8476584022038568,0.7272727272727273,0.7500000000000001,48,0.7741935483870968,18,0.002499818801879883
