Modele,Accuracy,AUC,Recall class 1,F1,TP,Precision,FN,time
All_cols - XGBC,0.823864,0.852066,0.712121,0.752,47,0.79661,19,0.00213
Without_age - XGBC,0.7840909090909091,0.8068870523415979,0.6818181818181818,0.703125,45,0.7258064516129032,21,0.0018656253814697266
