Modele,Accuracy,AUC,Recall class 1,F1,TP,Precision,FN,time
All_cols - XGBC,0.823864,0.852066,0.712121,0.752,47,0.79661,19,0.00213
Without_nbSiSp - XGBC,0.8352272727272727,0.843870523415978,0.7121212121212122,0.7642276422764227,47,0.8245614035087719,19,0.0019135475158691406
