Modele,Accuracy,AUC,Recall class 1,F1,TP,Precision,FN,time
All_cols - knn,0.7897727272727273,0.8707988980716255,0.6363636363636364,0.694214876033058,42,0.7636363636363637,24,0.013898611068725586
All_cols - Rfc,0.7954545454545454,0.8597796143250688,0.7121212121212122,0.7230769230769231,47,0.734375,19,0.006646633148193359
All_cols - SVC,0.8011363636363636,0.8019283746556475,0.7121212121212122,0.7286821705426357,47,0.746031746031746,19,0.0015785694122314453
All_cols - lgbm,0.7954545454545454,0.8019283746556475,0.6515151515151515,0.7049180327868853,43,0.7678571428571429,23,0.0015358924865722656
All_cols - XGBC,0.8238636363636364,0.8520661157024794,0.7121212121212122,0.7520000000000001,47,0.7966101694915254,19,0.0018892288208007812
