Modele,Accuracy,AUC,Recall class 1,F1,TP,Precision,FN,time
Without_nbSiSp - XGBC,0.835227,0.843871,0.712121,0.764228,47,0.824561,19,0.001941
Without_nbSip_Sex_male- XGBC,0.8181818181818182,0.8406336088154271,0.6818181818181818,0.7377049180327868,45,0.8035714285714286,21,0.0018124580383300781
