Modele,Accuracy,AUC,Recall class 1,F1,TP,Precision,FN,time
All_cols - XGBC,0.823864,0.852066,0.712121,0.752,47,0.79661,19,0.00213
Without_PClass - XGBC,0.7784090909090909,0.7982782369146005,0.6212121212121212,0.6776859504132231,41,0.7454545454545455,25,0.002195596694946289
