Modele,Accuracy,AUC,Recall class 1,F1,TP,Precision,FN,time
Without_nbSiSp - XGBC,0.835227,0.843871,0.712121,0.764228,47,0.824561,19,0.001941
Without_nbSiSp_nbParents_child	- XGBC,0.8068181818181818,0.8522038567493113,0.6818181818181818,0.7258064516129032,45,0.7758620689655172,21,0.0018587112426757812
